"","VIP","Coefficient"
"crop_production",4.12016483771837,30924.4048149871
"crop_residue",4.08370990262983,30650.7878082446
"general_CV",0.0319843937694497,-240.062808078365
"discount_rate_farmers",0.131098844363473,-983.97852842172
"total_area",0.488518867313323,3666.63854665632
"crop_price",0.319399704512002,2397.29383390062
"residue_price",2.60231739047149,19532.0137930661
"farm_job_created",0.129312987032387,970.574556196447
"off_farm_job",0.123445287831706,926.533816915022
"construction_job_perc",0.0541985392131577,-406.793813603048
"watershed_mgmt_job",0.26635719627959,1999.17675325252
"family_labour_cost",0.198966527260584,-1493.36778405346
"off_farm_labour_cost",0.217984175683145,-1636.10708736105
"total_population",0.357758768256789,-2685.202512871
"prop_trained",0.0940589476787915,705.971020349128
"prop_adopted",0.0488789352393925,366.866870575393
"value_capacity_development",0.11004582806338,825.962520741516
"prob_flooding_hazard",0.262194516197407,1967.93324503211
"value_red_flooding_effect",0.0659909594781366,-495.303276788655
"value_improve_ecosystem",0.0684971811313874,514.114032186522
"veg_cover_density",0.140516964812793,-1054.66739181495
"watershed_area",0.124547469779487,-934.80637931858
"value_vegetative_cover",0.317773263015325,-2385.08637686136
"perc_area_reclaimed",0.240791853495716,-1807.29292320648
"value_reclaimed_area",0.129115987684609,969.095953320362
"farm_input_cost",0.0198431591022102,148.935275420864
"labour_contribution",0.10605378216387,-795.999728402165
"perimeter_fenced",0.161960911118776,-1215.61757281894
"cost_fence",0.167952166657726,-1260.58567942002
"value_tree_cleared",0.128327628762225,963.178828298541
"perc_soil_disturbed",0.0386057484930955,289.760201741634
"value_soil_disturbance",0.187932587614163,-1410.55119059915
"vegetative_area_affected",0.248147123263482,-1862.4988066555
"area_benefited_alluvial_deposits",0.208302717470315,1563.44170993923
"value_alluvial_deposits",0.00584904804316579,43.9007507207727
"no_people_affected",0.0353120375348976,-265.038848342755
"cost_health_treatment",0.198544480200502,1490.20005784565
"prop_area_converted_crop",0.127420451442685,-956.369897157821
"current_value_pasture",0.428513313531598,-3216.25946975484
"pasture_clearing_cost",0.0567108132926957,-425.649996232104
"study_design_cost",0.0133873090730976,100.480097633443
"training_cost",0.184097975891927,-1381.77003987403
"construction_cost",0.198845445038987,-1492.45898652131
"perc_watershed_area_intervened",0.0676439159468137,-507.709745217046
"cost_watershed_mgmt",0.195463974625499,-1467.07894371833
"perc_repair_maint_cost",0.188120040208687,-1411.95813914248
"prob_slopey_area",0.05768319236845,-432.948307187279
"perc_increase_cost_due_to_slope",0.466106049382682,3498.41638030349
"prob_improper_design",0.12486390883394,-937.181451628692
"prob_supervision",0.172853933361729,1297.37649333978
"prob_reject_suggestions",0.0138986381408447,-104.317940949789
"perc_supervision_cost",0.0428014564633088,-321.251604844864
"prob_total_str_failure",4.06735500437915,-30528.0341044166
"prob_conflict",0.0635892503083896,477.2769527122
"cost_managing_conflict",0.00612159275247989,-45.9463686154391
"prob_siltation",0.233950103354834,1755.94132458529
"prob_yield_red_dry",0.78284896197712,-5875.76933513641
"perc_reduction_crop_yield",0.524251276263653,-3934.83254444952
"prob_yield_red_flood",0.190732949033846,-1431.56964825351
"perc_reduction_crop_yield_flood",0.411622847504434,-3089.4859959957
