"","VIP","Coefficient"
"crop_production",0.0114382498854584,8.73848334537534
"crop_residue",0.00316245700446152,2.41602326760542
"general_CV",0.0263335400934544,20.1180428680766
"discount_rate_farmers",0.0252925308141168,19.3227426830861
"total_area",0.00162089543176465,-1.23831599037519
"crop_price",0.0505484291230512,38.6174992197214
"residue_price",0.0177255581089048,13.5418001768843
"farm_job_created",0.253620163177126,-193.758275450184
"off_farm_job",0.0488035271251943,-37.2844458942324
"construction_job_perc",0.0580195333582979,-44.3252010609152
"watershed_mgmt_job",0.039104163239497,-29.8744198303977
"family_labour_cost",0.0927736245511167,-70.87629498816
"off_farm_labour_cost",0.00461429872448792,-3.52518724090703
"total_population",0.00904897234003728,6.91314623111233
"prop_trained",0.115006635537005,87.8616553503888
"prop_adopted",0.246087183242852,-188.003302411836
"value_capacity_development",0.131598466555058,-100.537321686798
"prob_flooding_hazard",0.00503024607629521,-3.84295866946639
"value_red_flooding_effect",0.0419738107205864,-32.0667453147778
"value_improve_ecosystem",0.992448837188204,758.201448801332
"veg_cover_density",0.0746734327622195,57.0482858015047
"watershed_area",3.92984949918251,3002.28835200532
"value_vegetative_cover",0.970759410206146,741.631370480661
"perc_area_reclaimed",0.127240656497769,-97.208084173256
"value_reclaimed_area",2.59399635218571,1981.73620514768
"farm_input_cost",0.0675710077190241,-51.6222439180656
"labour_contribution",0.0564610795104628,43.1345885869601
"perimeter_fenced",0.210397438402606,-160.73739687469
"cost_fence",0.00911671078275416,-6.96489639039812
"value_tree_cleared",0.0466410765399353,-35.6323978437254
"perc_soil_disturbed",0.12096424583664,-92.4130927558416
"value_soil_disturbance",0.349953773704771,-267.354294039174
"vegetative_area_affected",0.0132019010342005,10.085860465535
"area_benefited_alluvial_deposits",0.119643675214157,91.4042160040205
"value_alluvial_deposits",0.0129374393415392,9.88381958341115
"no_people_affected",0.00961728836175987,7.34732280012105
"cost_health_treatment",0.122245152132134,-93.3916671393578
"prop_area_converted_crop",0.0123798578956962,9.45784391169726
"current_value_pasture",0.0425570136401278,-32.512295031773
"pasture_clearing_cost",0.0343914334809241,-26.2740342015701
"study_design_cost",0.0192540580180478,14.7095287309207
"training_cost",0.0779460713217685,-59.5484845062391
"construction_cost",0.0438072160452695,33.4674125545653
"perc_watershed_area_intervened",5.94532503338971,4542.05182675434
"cost_watershed_mgmt",0.0640514821770741,48.9334308881061
"perc_repair_maint_cost",0.059046302322968,45.1096220682517
"prob_slopey_area",0.0618967450115228,47.2872756612677
"perc_increase_cost_due_to_slope",0.0427704050714715,-32.675319750372
"prob_improper_design",0.0183923891628934,-14.0512393059302
"prob_supervision",0.0134747480911481,10.2943075170373
"prob_reject_suggestions",0.0820699297654283,-62.6989899322852
"perc_supervision_cost",0.0792449618135072,-60.5407982817893
"prob_total_str_failure",0.254559037085494,194.475547243845
"prob_conflict",0.0030901873796611,2.36081141972493
"cost_managing_conflict",0.131102853896173,-100.158688328653
"prob_siltation",0.0270986051376565,-20.7025298493751
"prob_yield_red_dry",0.0429467174415963,32.8100171669653
"perc_reduction_crop_yield",0.0733896516032326,56.0675151076264
"prob_yield_red_flood",0.042081826424557,32.1492661059511
"perc_reduction_crop_yield_flood",0.0532120659412714,40.6524386735041
