"","VIP","Coefficient"
"crop_production",4.59300571994022,227273.177933779
"crop_residue",4.59610689504019,227426.631676986
"general_CV",0.0512702185679222,2536.97604962764
"discount_rate_farmers",1.649057968655,-81599.4292160648
"total_area",0.472520473842929,23381.4709315135
"crop_price",0.824907986192651,40818.4685490437
"residue_price",3.11889778884922,154330.705281948
"farm_job_created",0.068726569758897,3400.75908239787
"off_farm_job",0.455681081785423,22548.2165484922
"construction_job_perc",0.292775339350045,14487.2412211129
"watershed_mgmt_job",0.113920179418145,-5637.04963282411
"family_labour_cost",0.0573111587237939,-2835.89657153603
"off_farm_labour_cost",0.249817189518781,12361.5667008482
"total_population",0.0458862147103731,2270.56234554699
"prop_trained",0.045802733795321,2266.43150530476
"prop_adopted",0.0665708230768765,3294.08745403129
"value_capacity_development",0.267876927561146,13255.206793592
"prob_flooding_hazard",0.0615932458354336,3047.78473484193
"value_red_flooding_effect",0.047506683512384,-2350.7471127413
"value_improve_ecosystem",0.172406968646913,8531.11928256499
"veg_cover_density",0.0648596255992222,3209.41320964045
"watershed_area",0.0906829164010007,-4487.21291708447
"value_vegetative_cover",0.0228046035845513,-1128.42766680649
"perc_area_reclaimed",0.0828075149139941,-4097.51875326364
"value_reclaimed_area",0.0273459900463061,-1353.14659735507
"farm_input_cost",0.138235285980691,-6840.2206883873
"labour_contribution",0.164650674145458,8147.31882425446
"perimeter_fenced",0.0243240670880677,1203.6144443233
"cost_fence",0.0315404559540241,-1560.69904877992
"value_tree_cleared",0.0495607937385125,-2452.38952021572
"perc_soil_disturbed",0.110733757734372,-5479.37767975767
"value_soil_disturbance",0.0427279754230156,-2114.28492651464
"vegetative_area_affected",0.0696164037085845,3444.79024671818
"area_benefited_alluvial_deposits",0.140920872440382,6973.11008729664
"value_alluvial_deposits",0.0145800153483731,-721.454886973482
"no_people_affected",0.164617209242997,-8145.66289887673
"cost_health_treatment",0.0525666697890839,2601.12763293405
"prop_area_converted_crop",0.63984136545337,-31660.9186591582
"current_value_pasture",0.054561961829684,-2699.85957245775
"pasture_clearing_cost",0.367265813207145,-18173.2124024239
"study_design_cost",0.0473533647645064,2343.16052539705
"training_cost",0.0811532443863737,4015.66139385687
"construction_cost",0.0681583051012079,-3372.63995463372
"perc_watershed_area_intervened",0.0558553954420359,2763.86183708576
"cost_watershed_mgmt",0.0685770724436983,3393.36158890678
"perc_repair_maint_cost",0.0554053687046791,2741.59341135527
"prob_slopey_area",0.0879866737768362,-4353.79622504466
"perc_increase_cost_due_to_slope",0.107115939407124,5300.35916365807
"prob_improper_design",0.0227605295019777,-1126.2467731996
"prob_supervision",0.0482586769932542,-2387.95759289395
"prob_reject_suggestions",0.116754016663386,5777.27484388295
"perc_supervision_cost",0.0153650324506597,760.299456836411
"prob_total_str_failure",1.34661811087831,-66633.9639408243
"prob_conflict",0.0595302863018546,-2945.70444195011
"cost_managing_conflict",0.0722815619376199,-3576.66880671639
"prob_siltation",0.148491191882033,-7347.7080439263
"prob_yield_red_dry",0.837919149884629,-41462.2928116729
"perc_reduction_crop_yield",0.652662892303913,-32295.3592261784
"prob_yield_red_flood",0.337322650080255,-16691.5513168099
"perc_reduction_crop_yield_flood",0.317145286028101,-15693.1258999743
