"","VIP","Coefficient"
"crop_production",0.12781151095754,-1377.41465625116
"crop_residue",0.133374899162612,-1437.3708557724
"general_CV",0.0997649890558137,-1075.15948349806
"discount_rate_farmers",0.276650421125533,2981.43994904308
"total_area",0.0185057646098009,-199.435177690231
"crop_price",0.031810196872087,-342.816003516331
"residue_price",0.012161353559989,-131.061956062361
"farm_job_created",0.0178008567148607,191.838440443925
"off_farm_job",0.202212657619666,-2179.2299942167
"construction_job_perc",0.0590712221449336,-636.60594054107
"watershed_mgmt_job",0.0439310400924442,473.441382817175
"family_labour_cost",0.0199676760929147,215.190083393926
"off_farm_labour_cost",0.015152193629996,163.294005555145
"total_population",0.337291915495378,3634.96859052628
"prop_trained",0.0725102562869746,-781.437360296812
"prop_adopted",0.00881560258769497,95.0050595365442
"value_capacity_development",0.260039492277565,-2802.42526814522
"prob_flooding_hazard",0.0588963444665084,634.721297479507
"value_red_flooding_effect",0.0293997213281945,-316.838497125725
"value_improve_ecosystem",0.0738380900640481,795.747321049986
"veg_cover_density",0.412111820065251,4441.29684970862
"watershed_area",0.905827931197525,-9762.03676120878
"value_vegetative_cover",0.26327053209386,2837.24593151548
"perc_area_reclaimed",0.313840409310728,3382.23354273679
"value_reclaimed_area",0.202497962457007,2182.30470213235
"farm_input_cost",0.0575340053847739,620.039475756984
"labour_contribution",0.0827493412568217,-891.783178121888
"perimeter_fenced",0.0482023799604725,-519.473278473323
"cost_fence",0.0123013323967716,132.570497037309
"value_tree_cleared",0.190287044405199,-2050.70859341856
"perc_soil_disturbed",0.169481455945176,1826.4883939853
"value_soil_disturbance",0.264827696372018,2854.02736914075
"vegetative_area_affected",0.278098970708635,-2997.0508545955
"area_benefited_alluvial_deposits",0.207194199975126,-2232.9156865283
"value_alluvial_deposits",0.0136455336247998,147.05684852917
"no_people_affected",0.000288721431489319,3.11152828354654
"cost_health_treatment",0.0473778245207358,-510.587108995503
"prop_area_converted_crop",0.147089066786666,1585.16736754303
"current_value_pasture",0.0428686712522673,461.99231692443
"pasture_clearing_cost",0.223447068783507,2408.07158238676
"study_design_cost",0.276916112769936,-2984.30328711257
"training_cost",0.190456794808016,-2052.53798023195
"construction_cost",6.4663080870461,-69686.8964634308
"perc_watershed_area_intervened",1.12701684602609,-12145.7723950546
"cost_watershed_mgmt",1.93698835622798,-20874.772005024
"perc_repair_maint_cost",1.27948251349556,-13788.8829676017
"prob_slopey_area",2.02417986442741,-21814.4280688229
"perc_increase_cost_due_to_slope",2.29399126040353,-24722.1643787751
"prob_improper_design",0.00493719208783786,-53.2077329464822
"prob_supervision",0.00967572995346379,104.274584878798
"prob_reject_suggestions",0.0584289456426683,-629.684176914632
"perc_supervision_cost",0.0283053506758487,305.044550206398
"prob_total_str_failure",0.0235532311815076,-253.831330123765
"prob_conflict",0.0534474929448787,575.999450836738
"cost_managing_conflict",0.192549025045567,-2075.08578184906
"prob_siltation",0.088836905981543,-957.388386994619
"prob_yield_red_dry",0.133887445869096,1442.89453153709
"perc_reduction_crop_yield",0.0471003637527683,-507.596936001929
"prob_yield_red_flood",0.262976997150961,-2834.08252839598
"perc_reduction_crop_yield_flood",0.0646074570268509,696.269510822585
