"","VIP","Coefficient"
"crop_production",4.50614029022706,224041.939614722
"crop_residue",4.50088229655226,223780.516084714
"general_CV",0.102598691471512,5101.13053716129
"discount_rate_farmers",1.48198212018318,-73683.0474187139
"total_area",0.682703733813796,33943.5212520089
"crop_price",0.753110274628123,37444.082031223
"residue_price",3.1450220472197,156368.154164739
"farm_job_created",0.0430751530151331,-2141.66453087174
"off_farm_job",0.410698656072854,20419.6313424333
"construction_job_perc",0.0440447175203653,2189.87055606028
"watershed_mgmt_job",0.0454050708386042,2257.5063100204
"family_labour_cost",0.0085185458954922,-423.5357583656
"off_farm_labour_cost",0.0566434041075638,2816.26787123391
"total_population",0.144117084897743,7165.39414055461
"prop_trained",0.281516982996875,13996.8147556113
"prop_adopted",0.0972782443891763,-4836.60187023779
"value_capacity_development",0.250715389752852,12465.3824767315
"prob_flooding_hazard",0.0557965290452994,-2774.16187378582
"value_red_flooding_effect",0.0574864211793179,-2858.18205226679
"value_improve_ecosystem",0.0373527119641386,-1857.14902318187
"veg_cover_density",0.0696789064542976,3464.38334068534
"watershed_area",0.0425998504271031,2118.0328401414
"value_vegetative_cover",0.18168936196523,9033.45977717004
"perc_area_reclaimed",0.0966812511865206,4806.91981276836
"value_reclaimed_area",0.124346081255848,6182.39456247519
"farm_input_cost",0.0592138378747671,-2944.06792399844
"labour_contribution",0.00900074844259608,447.510509922851
"perimeter_fenced",0.0288413532341155,1433.97060533128
"cost_fence",0.22904485006827,-11387.9393811489
"value_tree_cleared",0.0553855776576781,-2753.729676819
"perc_soil_disturbed",0.0853795387633908,4245.00708720646
"value_soil_disturbance",0.242603466529065,12062.0636948008
"vegetative_area_affected",0.0765751711698258,-3807.26048685729
"area_benefited_alluvial_deposits",0.00637534831251775,316.977570528314
"value_alluvial_deposits",0.124680520643948,-6199.02263980247
"no_people_affected",0.0941578053477043,-4681.45596481244
"cost_health_treatment",0.0206922606077588,1028.80378838405
"prop_area_converted_crop",0.420413605386767,-20902.6513878297
"current_value_pasture",0.301371140494719,-14983.9486814858
"pasture_clearing_cost",0.482302610617851,-23979.7266406507
"study_design_cost",0.201707663503328,-10028.7548224918
"training_cost",0.165506678772314,-8228.86881967704
"construction_cost",0.899703010480494,-44732.5636936833
"perc_watershed_area_intervened",0.0334061724859185,1660.93001921874
"cost_watershed_mgmt",0.281612429296354,-14001.5602745448
"perc_repair_maint_cost",0.341965019984034,-17002.2461403992
"prob_slopey_area",0.189413794697692,-9417.51282042693
"perc_increase_cost_due_to_slope",0.250291986729928,-12444.3311937298
"prob_improper_design",0.129908562945269,-6458.95700982553
"prob_supervision",0.0245032440226826,1218.28304582546
"prob_reject_suggestions",0.0802288034231177,3988.91636171803
"perc_supervision_cost",0.123433197321689,6137.00665307172
"prob_total_str_failure",1.45960465338914,-72570.456433681
"prob_conflict",0.0503526601146599,-2503.49676447398
"cost_managing_conflict",0.0118842209937739,590.87461791407
"prob_siltation",0.132960895065347,6610.71668983678
"prob_yield_red_dry",0.95309668143063,-47387.2572523288
"perc_reduction_crop_yield",0.889740118667299,-44237.2161318596
"prob_yield_red_flood",0.397018714078961,-19739.474813624
"perc_reduction_crop_yield_flood",0.0708544909489633,-3522.83252633034
